CORE,Id,Updating weight,2020,Updating weight,id,C++ weight,2020,C++ weight,id,Testing weight,2020,Testing weight,,,,,,,,,,,,,,,,,,,,
,3065230,1,899444,1,899444,1,899444,1,718899,1,439929,1,,,*weight for each year separatelly,,,,,,,,,,,,,,,,,
,439929,"0,937626226862879",439929,"0,888999218670759",275871,"0,735860282348869",439929,"0,515879111235497",2512748,"0,610824622590438",718899,"0,982783530664132",,,,2016,2017,2018,2019,,ID 718899,Testing Weight,%,média,dp,,,ID 718899,ID 2512748,ID 439929,ID 1443911,ID 899444
,238531,"0,630006586533573",3065230,"0,554249231662673",439929,"0,364510988374319",275871,"0,418352573492123",439929,"0,475468179848348",899444,"0,828128435608583",,,ID 718899,"391,432583298103","443,079938038825","239,208800904396","154,942064222166",,2016,"391,432583298103","0,00%","307,2","154,942064222166",,média,"307,2","196,4","157,7","150,2",123
,899444,"0,548939921966711",8822573,"0,378633776382582",4299420,"0,264771149286755",5952481,"0,147692985622393",1443911,"0,450910502557203",8822573,"0,452414206821406",,,ID 2512748,"356,094919528136","315,32069210125","78,8301730253123","35,3376637699676",,2017,"443,079938038825","13,19%",Média %,Dp %,,dp,"154,942064222166","162,69433","148,83678","120,96354","47,51812"
,275871,"0,454676080574137",52195,"0,376251563856052",96947,"0,193500075276066",4299420,"0,138562307915668",899444,"0,381404661892989",3065230,"0,178003107840185",,,ID 439929,"195,716291649051","350,658355871218","65,2387638830171","19,0279727992133",,2018,"239,208800904396","-46,01%",-17,"28,13%",,,,,,,
,8822573,"0,44493417283911",5952481,"0,339908308884052",2512748,"0,189750349305715",54666,"0,112224340885491",96947,"0,357960506511959",275871,"0,131351978029904",,,ID 1443911,"127,759245937575","320,757255758168","116,886118623739","35,3376637699676",,2019,"154,942064222166","-35,22%",,,,,ID 718899,ID 2512748,ID 439929,ID 1443911,ID 899444
,505333,"0,442495568075646",275871,"0,320906501294947",1538624,"0,185202001703892",2512748,"0,111869070294854",8822573,"0,343464812535713",1443911,"0,129269799538676",,,ID 899444,"106,012991309903","192,998009820592","106,012991309903","86,9850185106894",,ID 2512748,,,média,dp,,média,-17,"-35,4","-18,3","4,4","4,8"
,54666,"0,406688671319275",54666,"0,268568326976973",54666,"0,165445247309985",8822573,"0,060047099526968",275871,"0,305764236232657",17607,"0,084835069278759",,,,,,,,,2016,"356,094919528136","0,00%","196,4","162,69%",,dp,"28,13055","35,52358","74,32605","102,70575","54,75618"
,718899,"0,319862127690098",718899,"0,250237577518911",17607,"0,152302990744517",17607,"0,059858203340736",696611,"0,280633067358864",54666,"0,041765798608672",,,,total,,,,,2017,"315,32069210125","-11,45%",Média %,Dp %,,,,,,,
,2512748,"0,292987388648933",2352663,"0,149226719647609",10393198,"0,12620648402204",2352663,"0,042621779919247",54666,"0,168443361842288",2512748,"0,041133787075134",,,,"1815,81226141065","2979,23688399115","1196,04400452198","562,684338491023",,2018,"78,8301730253123","-75,00%","-35,4","35,52%",,,,,,,
,10393198,"0,292338403916433",1443911,"0,148321997614746",8822573,"0,121280025323974",598730,"0,042488538610507",4299420,"0,167667409202076",2352663,"0,040520617957145",,,,,,,,,2019,"35,3376637699676","-55,17%",,,,,,,,,
,598730,"0,290692310182018",2512748,"0,131047270802647",2352663,"0,115040709093032",718899,"0,033884902212365",1093990,"0,164098961836502",52195,"0,039925460996282",,,,2016,2017,2018,2019,,ID 439929,,,média,dp,,,,,,,
,37303,"0,264625398851914",4299420,"0,097696713208538",718899,"0,114780901676102",238531,"0,016889815857629",2352663,"0,130802919495503",5952481,0,,,ID 718899,"0,215568862275448","0,148722627737225","0,2","0,27536231884058",,2016,"195,716291649051","0,00%","157,7","148,84%",,,,,,,
,4299420,"0,227247225294332",17607,"0,064743323027472",289174,"0,111297406675063",3065230,"0,008418753320443",10393198,"0,123913254673366",4299420,0,,,ID 2512748,"0,196107784431137","0,105839416058393","0,065909090909091","0,06280193236715",,2017,"350,658355871218","79,16%",Média %,Dp %,,,,,,,
,696611,"0,206651054094936",598730,"0,03218004753256",5952481,"0,095862580501698",52195,"0,00839276021803",17607,"0,108766860342737",598730,0,,,ID 439929,"0,107784431137724","0,117700729927006","0,054545454545455","0,033816425120773",,2018,"65,2387638830171","-81,39%","-18,3","74,33%",,,,,,,
