b.idpessoa,a.idpessoa,w.total
8822573,2352663,42.0
8822573,598730,16.0
8822573,899444,86.0
8822573,54666,12.0
8822573,1443911,5.0
8822573,3065230,65.0
8822573,5952481,121.0
8822573,439929,68.0
8822573,2512748,24.0
8822573,1538624,3.0
8822573,4299420,96.0
8822573,1093990,10.0
8822573,696611,4.0
8822573,718899,70.0
8822573,52195,32.0
8822573,505333,3.0
8822573,17607,9.0
8822573,96947,21.0
8822573,238531,2.0
8822573,10393198,15.0
8822573,289174,1.0
8822573,275871,14.0
1443911,3065230,137.0
1443911,8822573,26.0
1443911,96947,10.0
1443911,1538624,9.0
1443911,54666,10.0
1443911,52195,45.0
1443911,275871,7.0
1443911,5952481,8.0
1443911,718899,63.0
1443911,17607,12.0
1443911,2352663,17.0
1443911,598730,2.0
1443911,2512748,15.0
1443911,4299420,11.0
1443911,899444,59.0
1443911,439929,41.0
1443911,1093990,1.0
1443911,10393198,31.0
1443911,238531,4.0
238531,439929,43.0
238531,17607,11.0
238531,718899,8.0
238531,52195,14.0
238531,1093990,3.0
238531,3065230,3.0
238531,54666,21.0
238531,289174,34.0
238531,275871,25.0
238531,899444,4.0
238531,96947,1.0
238531,37303,13.0
238531,5952481,1.0
52195,8822573,52.0
52195,4299420,4.0
52195,598730,2.0
52195,696611,1.0
52195,54666,32.0
52195,5952481,29.0
52195,439929,118.0
52195,718899,10.0
52195,505333,3.0
52195,1093990,12.0
52195,1443911,7.0
52195,275871,4.0
52195,3065230,211.0
52195,899444,46.0
52195,2512748,3.0
52195,96947,7.0
52195,1538624,3.0
718899,1443911,11.0
718899,598730,13.0
718899,3065230,79.0
718899,4299420,83.0
718899,8822573,203.0
718899,289174,1.0
718899,238531,5.0
718899,96947,55.0
718899,899444,101.0
718899,505333,3.0
718899,275871,12.0
718899,5952481,17.0
718899,2352663,3.0
718899,54666,22.0
718899,1093990,64.0
718899,696611,19.0
718899,439929,249.0
718899,52195,13.0
718899,2512748,52.0
718899,17607,57.0
718899,10393198,16.0
718899,1538624,1.0
5952481,2512748,5.0
5952481,17607,2.0
5952481,4299420,29.0
5952481,1093990,7.0
5952481,2352663,9.0
5952481,899444,44.0
5952481,598730,30.0
5952481,1538624,4.0
5952481,54666,2.0
5952481,275871,3.0
5952481,718899,2.0
5952481,439929,15.0
5952481,3065230,3.0
5952481,10393198,1.0
5952481,8822573,39.0
5952481,96947,2.0
5952481,52195,9.0
17607,275871,23.0
17607,4299420,37.0
17607,238531,13.0
17607,2352663,3.0
17607,3065230,4.0
17607,54666,23.0
17607,37303,1.0
17607,2512748,39.0
17607,505333,1.0
17607,52195,21.0
17607,696611,5.0
17607,96947,8.0
17607,10393198,21.0
17607,8822573,7.0
17607,598730,1.0
17607,899444,15.0
17607,718899,29.0
17607,1443911,14.0
17607,439929,211.0
17607,5952481,4.0
37303,696611,2.0
37303,2512748,1.0
37303,439929,75.0
37303,54666,33.0
37303,275871,8.0
37303,289174,12.0
37303,238531,27.0
37303,52195,3.0
37303,1093990,36.0
96947,52195,15.0
96947,54666,25.0
96947,5952481,26.0
96947,8822573,68.0
96947,2512748,25.0
96947,439929,60.0
96947,505333,23.0
96947,899444,137.0
96947,718899,145.0
96947,17607,35.0
96947,2352663,13.0
96947,1538624,18.0
96947,4299420,100.0
96947,275871,13.0
96947,696611,3.0
96947,10393198,57.0
96947,598730,8.0
96947,238531,5.0
96947,289174,25.0
96947,1093990,1.0
696611,1443911,1.0
696611,899444,31.0
696611,37303,5.0
