"id";"year"
278692708;2019
419276518;2020
419256116;2020
419214649;2020
419208460;2020
419203207;2020
418948581;2020
417885128;2020
318444677;2019
47679281;2015
274931218;2019
273691079;2019
149396918;2017
256041067;2019
244658426;2019
410253911;2020
415012604;2020
414987603;2020
414972545;2020
414958828;2020
414898530;2020
152459584;2017
272146235;2019
221276948;2018
410119479;2020
297346681;2019
414860241;2020
414854233;2020
414849789;2020
410262727;2020
410260296;2020
71435501;2016
68447917;2016
410207413;2020
306227448;2019
410078501;2020
410120593;2020
269299568;2019
410200904;2020
351450016;2019
176672006;2018
406802673;2020
406834135;2020
406810783;2020
219089389;2018
299828117;2019
406567343;2020
406630441;2020
402790094;2020
406582506;2020
406591038;2020
353113571;2019
406617648;2020
105697084;2017
96117865;2016
272104332;2019
164216485;2018
402607929;2020
402639052;2020
402629008;2020
402608740;2020
145227451;2017
402557361;2020
402555663;2020
399010145;2020
399004025;2020
398993049;2020
398976796;2020
398932722;2020
264589621;2019
353106126;2019
398812219;2020
398634236;2020
398632567;2020
398515027;2020
408907042;2020
351389381;2019
306196741;2019
395018315;2020
353087928;2019
395030437;2020
390773976;2020
395019630;2020
320816109;2019
394963346;2020
394937125;2020
394805766;2020
394926381;2020
394828242;2020
99493297;2016
68021555;2016
394711958;2020
391252321;2020
391251166;2020
390827230;2020
390762164;2020
291317121;2019
244607828;2019
351281012;2019
209632062;2018
390930254;2020
386958592;2020
391033076;2020
274925229;2019
386906831;2020
386864411;2020
386841978;2020
386871292;2020
136154911;2017
386947751;2020
80488160;2016
320633647;2019
386834126;2020
386830544;2020
383347537;2020
386829078;2020
386818156;2020
383268841;2020
378120223;2020
351265925;2019
383180109;2020
383372431;2020
365765153;2020
383204743;2020
383149709;2020
83863682;2016
71434283;2016
383102531;2020
378053101;2020
383075299;2020
378590082;2020
378104019;2020
377660334;2020
306192918;2019
351149037;2019
267308383;2019
377532888;2020
378694034;2020
378724699;2020
378631333;2020
378054746;2020
350379869;2019
378459714;2020
378592101;2020
378561865;2020
320617147;2019
378370041;2020
68447777;2016
377585989;2020
378216890;2020
378158693;2020
377607092;2020
377599328;2020
377470945;2020
266007222;2019
350319602;2019
153654626;2017
232223347;2018
374011938;2020
373523485;2020
255664640;2019
233305478;2018
350310806;2019
244572302;2019
373608319;2020
373587753;2020
373587458;2020
252444282;2019
350310405;2019
71415728;2016
320607297;2019
373503371;2020
373500079;2020
373439349;2020
373349376;2020
226216833;2018
176666981;2018
369942543;2020
373301363;2020
373159282;2020
369940432;2020
369936691;2020
369921528;2020
261836692;2019
350274906;2019
105671060;2017
255675207;2019
369898965;2020
369895353;2020
369894530;2020
369884338;2020
369738318;2020
320527701;2019
145216636;2017
366101701;2020
366086425;2020
366057092;2020
366050079;2020
365814546;2020
365733258;2020
365542232;2020
365698720;2020
365560020;2020
365526220;2020
361580065;2020
320521153;2019
289728582;2019
349753619;2019
361564096;2020
361559884;2020
361552009;2020
361483277;2020
361458894;2020
361385890;2020
152455249;2017
349752271;2019
244566338;2019
361171682;2020
320519921;2019
232207740;2018
164220118;2018
358341759;2019
358209304;2019
358105736;2019
226212852;2018
297336181;2019
201461022;2018
349704959;2019
320516283;2019
353335322;2019
358101118;2019
358093295;2019
353451485;2019
353343941;2019
353297646;2019
176654470;2018
350269355;2019
105666417;2017
349702388;2019
353295679;2019
353270983;2019
306187805;2019
118441592;2017
349619812;2019
96117273;2016
349754117;2019
353225296;2019
320487672;2019
295612353;2019
350243502;2019
244563041;2019
232188641;2018
350308842;2019
349597415;2019
150679127;2017
258741155;2019
350231782;2019
350230679;2019
349803705;2019
222543289;2018
219059260;2018
346388447;2019
346443334;2019
346436301;2019
346422102;2019
346419621;2019
346409112;2019
211551817;2018
176644396;2018
346380644;2019
346352396;2019
345920044;2019
339953370;2019
336018519;2019
336012715;2019
326555486;2019
264557987;2019
345937797;2019
346272719;2019
346232242;2019
346112448;2019
346063597;2019
260955722;2019
320410150;2019
297326443;2019
244526178;2019
345800589;2019
345880727;2019
345835271;2019
209614522;2018
87829439;2016
345797472;2019
69129072;2016
146123823;2017
211434365;2018
68414270;2016
342168723;2019
342086921;2019
341848657;2019
178679450;2018
244520176;2019
193601380;2018
282299790;2019
336061102;2019
353077135;2019
192754619;2018
232174084;2018
339960566;2019
339959472;2019
320408673;2019
263177369;2019
151847290;2017
244499494;2019
69262876;2016
339958708;2019
339957482;2019
339955204;2019
339954885;2019
339954855;2019
192579673;2018
232162200;2018
336106687;2019
105665703;2017
83859967;2016
339953946;2019
339953633;2019
336510965;2019
336333941;2019
336298810;2019
331227089;2019
336074083;2019
331254025;2019
331248578;2019
233304837;2018
201364605;2018
193321407;2018
244458201;2019
326504659;2019
213768183;2018
331132634;2019
326630172;2019
331004762;2019
211972369;2018
326499426;2019
330955238;2019
330921833;2019
326509251;2019
226191813;2018
326490742;2019
188629808;2018
244410510;2019
148165205;2017
326151347;2019
326454796;2019
326404855;2019
326237617;2019
318568529;2019
322347052;2019
322500101;2019
318524433;2019
232157005;2018
318301682;2019
318501689;2019
73402428;2016
244410436;2019
105664801;2017
226160883;2018
322431800;2019
322427572;2019
322395388;2019
322393300;2019
176589758;2018
152436071;2017
318062174;2019
322385895;2019
322366135;2019
318301634;2019
318063836;2019
232073605;2018
317970893;2019
313348304;2019
317986652;2019
313703441;2019
313787294;2019
222543061;2018
244392468;2019
142804676;2017
313459232;2019
313657669;2019
313550029;2019
213678688;2018
313464213;2019
244371097;2019
226156919;2018
313438543;2019
313338112;2019
309625052;2019
147195983;2017
349498230;2019
309495601;2019
306443220;2019
282299592;2019
222549319;2018
216410528;2018
232047242;2018
96117177;2016
286403806;2019
273565409;2019
222543020;2018
214120441;2018
306660937;2019
306479826;2019
289936558;2019
192536707;2018
186901610;2018
149212928;2017
226143734;2018
320408046;2019
260880304;2019
306405085;2019
244338554;2019
216325201;2018
306281022;2019
282298897;2019
306290899;2019
150908743;2017
152422524;2017
69259286;2016
306267571;2019
220342226;2018
217610652;2018
244307938;2019
105663532;2017
282295412;2019
302223636;2019
273562177;2019
268064418;2019
244304993;2019
232004233;2018
353074012;2019
303390191;2019
83852911;2016
199875069;2018
152404383;2017
164408337;2018
349453606;2019
226068628;2018
255661249;2019
185889688;2018
180797657;2018
244304968;2019
353060112;2019
302960382;2019
302604863;2019
231999685;2018
216313738;2018
302677697;2019
186426825;2018
151839884;2017
244294623;2019
302272509;2019
